time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.392480898263173e-07,4.270651528618891e-07,10.004805043033292,0.0003517685437905982,0.000598634956979538,0.0,-6.686306108683042e-05,3.5985213340546484e-05,0.16015839063633475,0.015568978296420469,0.02480477514305794,0.0,454.89948287156096,456.8810090324787,454.66135047027245,455.9067039524341
0.12000000000000001,-2.425898130305718e-05,1.424924295056292e-05,10.018832250566668,0.0013711623155590047,0.002200399893360405,0.0,-0.0008824556529785979,0.0005313671614334766,0.30738608803142975,0.0196900462847878,0.030232660078343614,0.0,452.19906990294106,452.6361679572289,450.77147254080575,451.1042304092113
0.18,-0.00013013036458675684,7.887480231067785e-05,10.04021502336662,0.0025458172100112364,0.004559477850517801,0.0,-0.0028631701960960187,0.0017425839585614488,0.40534187709767705,0.019351717169834172,0.053119682666262866,0.0,435.1457016213964,437.05785665561757,436.6470347314466,436.61878442959807
0.23999999999999996,-0.00039804976702535576,0.00023512359670575605,10.065417998674121,0.004175810049445339,0.00831662804883937,0.0,-0.006389634311798303,0.0035965190272854064,0.4347440558961616,0.03943359232831655,0.07689883696183304,0.0,413.0916902183287,415.1859295203042,413.1384591627236,414.9052617545653
0.3,-0.0009713637533028965,0.0005466104314082196,10.094562720889597,0.006657073532214675,0.012797380328612107,0.0,-0.013186057371672591,0.007034344572973952,0.5366978879060718,0.044942107884380175,0.06982573729111109,0.0,439.1209389980626,438.5383324772963,436.4348512721012,436.895240860623
0.36000000000000004,-0.0020470986908697583,0.0011187126577611693,10.130076107969725,0.009318709865534736,0.01685536438647972,0.0,-0.023098409660057072,0.012312679703726067,0.6470168895281179,0.043171844309724,0.06284388487442803,0.0,440.62163162930665,440.0476113799135,440.75518935217144,440.6100207856057
0.4200000000000001,-0.003953952324419826,0.0021491006476861666,10.180919777244648,0.012375213922934059,0.020435045341284486,0.0,-0.04099824348465883,0.022449193676275788,1.0474792462462184,0.06315070038181958,0.0523882348683082,0.0,524.2569750037524,523.5319888703971,523.7544077520622,525.1430540689183
0.48000000000000015,-0.006836307814642341,0.0037588884250889967,10.246200099500603,0.016298135319385842,0.02371385765203371,0.0,-0.05539758096937121,0.031592061353317887,1.1284421101284308,0.06950600426965617,0.05881793990006009,0.0,431.48737129685793,432.0318561368223,431.98520549556565,432.5239949982869
0.5400000000000001,-0.010756724683833464,0.006072288244569926,10.320696527969861,0.019929614398948914,0.027671711585076864,0.0,-0.0757324237812549,0.04600434504074235,1.3545109866743639,0.028689939993001626,0.077379692385253,0.0,476.4601768420597,477.8798257363383,477.5904204711794,474.4694683067305
0.6000000000000002,-0.015825899480490385,0.009205081991155335,10.402702034728499,0.021746850271991747,0.03247978386639705,0.0,-0.09366906761190519,0.0585819983909174,1.3789594900152506,0.0333039466175032,0.08513923964093875,0.0,413.47585335246055,414.16449432307553,414.45236403341636,414.85802873351867
0.6600000000000003,-0.022186294775056903,0.013209734810212936,10.489900056687935,0.024151247235963957,0.03790690978863154,0.0,-0.11891509914094153,0.07514483751595434,1.5274271929389465,0.050999498519491565,0.09938089198999847,0.0,454.204745123346,455.35193233148675,452.6777672163657,454.10011050452755
0.7200000000000003,-0.03017373008895478,0.018258189114935982,10.58571348358212,0.02743509992127624,0.043380199734825986,0.0,-0.14795215014487406,0.09347398866882031,1.6661249895529395,0.061305781752056476,0.06515898380705648,0.0,453.249212473774,450.49710674027534,450.8154043478768,451.6492670884226
0.7800000000000004,-0.04007368615513746,0.024517879256619916,10.691186427853944,0.030995317475168704,0.04700241613510148,0.0,-0.18246780752895855,0.11558769076301448,1.849326016626228,0.05507788848535122,0.04847925288441826,0.0,466.4600047167704,465.15807926304876,465.53985164473386,465.05461876690737
0.8400000000000004,-0.052098545280783615,0.03216793525822815,10.807102270064627,0.03421383385225507,0.049580380528975176,0.0,-0.21865830538606595,0.13976864021399335,2.0142275014744278,0.05060441850420027,0.028674976592951654,0.0,462.3186129858411,460.7565723069873,460.0502144575238,459.6976843623174
0.9000000000000005,-0.06637888444117096,0.04136075758949422,10.933494610818421,0.03712594487436416,0.052008392326116315,0.0,-0.2575824339236844,0.16698677997460035,2.1984833891445477,0.044038975198299364,0.05724427208444417,0.0,466.0532637403647,468.28148091164866,467.41974787431695,466.90915865744336
0.9600000000000005,-0.08297414961451006,0.05219281734476841,11.069356162431115,0.03958807327448444,0.05515629607444161,0.0,-0.2959340966730417,0.19434354589670616,2.3299389518794564,0.034228128620643665,0.04060293233164056,0.0,452.74457401382574,451.40541830458295,452.1623427680068,451.372157984779
1.0200000000000005,-0.10180595915506667,0.06462440776185728,11.210784846353656,0.04166483651141473,0.057338725428920156,0.0,-0.3320098539222623,0.22023336923417777,2.384210351715955,0.035370856380317534,0.02618565323023899,0.0,429.0890759323187,427.8640672747641,427.61570729667005,427.7135932640644
1.0800000000000005,-0.12322127981281364,0.0789270786755541,11.362038145621547,0.04445225584407364,0.058605006021339,0.0,-0.38198615104814504,0.25681624659824365,2.656936054669581,0.06249356106589524,0.00826846154069158,0.0,495.8634225093878,494.5454577834175,492.78831177090836,494.7900312497622
1.1400000000000006,-0.14755834796497394,0.09542236511308144,11.527859341185685,0.04824525379405298,0.05930640948503729,0.0,-0.42929373785857927,0.2934494184552136,2.869888222531998,0.06462428114860139,0.017779407621382724,0.0,478.5918217164162,479.3150338814867,478.1735820082398,478.33845885282034
